"zkrBudovy";"cisloMistnosti";"katedra";"pracoviste";"typCiselne";"typ";"kapacita";"spolecnyFond";"provozOd";"provozDo";"poznamka";"plocha";"vyskaMistnosti";"dvereCislo";"podlazi";"obec";"ulice";"cisloPopisne";"adresaBudovy";"serial";"urlMistnost";"urlBudova";"identifikatorMistnost";"identifikatorBudova"
"EA";"11035";"UECHI";"Ústav environmentálního a chemického inženýrství";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911035";""
"EA";"11036";"KEMCH";"Katedra ekonomiky a managementu chemického a potravináøského prùmyslu";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911036";""
"EA";"11037";"KEMCH";"Katedra ekonomiky a managementu chemického a potravináøského prùmyslu";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"26.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911037";""
"EA";"11038";"KEMCH";"Katedra ekonomiky a managementu chemického a potravináøského prùmyslu";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"25.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911038";""
"EA";"11039";"KEMCH";"Katedra ekonomiky a managementu chemického a potravináøského prùmyslu";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911039";""
"EA";"11040";"KEMCH";"Katedra ekonomiky a managementu chemického a potravináøského prùmyslu";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"25.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911040";""
"EA";"11041";"KEMCH";"Katedra ekonomiky a managementu chemického a potravináøského prùmyslu";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911041";""
"EA";"12022";"FF";"Fakulta filozofická";"2";"Uèebna";"40";"ne";"1.1.1990";"";"";"49.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912022";""
"EA";"12023";"KVV";"Katedra vìd o výchovì";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"26.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912023";""
"EA";"12024";"KVV";"Katedra vìd o výchovì";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912024";""
